County,Region,State,State_ABB,Adult Obesity,Adult Smokers,Children in Poverty,Diabetic,Food Insecure,Physically Inactive
Traverse,Midwest,Minnesota,MN,30%,16%,19%,10%,9%,26%
Wabasha,Midwest,Minnesota,MN,30%,14%,11%,8%,9%,19%
Wadena,Midwest,Minnesota,MN,28%,17%,22%,10%,13%,21%
Waseca,Midwest,Minnesota,MN,30%,16%,14%,8%,10%,23%
Washington,Midwest,Minnesota,MN,26%,13%,7%,7%,8%,18%
Watonwan,Midwest,Minnesota,MN,30%,15%,16%,9%,8%,25%
Wilkin,Midwest,Minnesota,MN,30%,16%,13%,9%,9%,26%
Winona,Midwest,Minnesota,MN,27%,17%,15%,8%,11%,21%
Wright,Midwest,Minnesota,MN,28%,16%,7%,7%,8%,19%
Yellow Medicine,Midwest,Minnesota,MN,28%,15%,15%,9%,10%,22%
Adair,Midwest,Missouri,MO,30%,24%,23%,9%,18%,28%
Andrew,Midwest,Missouri,MO,28%,18%,13%,10%,13%,32%
Atchison,Midwest,Missouri,MO,31%,18%,17%,11%,14%,34%
Audrain,Midwest,Missouri,MO,35%,21%,28%,11%,16%,27%
Barry,Midwest,Missouri,MO,32%,21%,33%,12%,15%,31%
Barton,Midwest,Missouri,MO,32%,23%,28%,12%,16%,31%
Bates,Midwest,Missouri,MO,35%,21%,26%,12%,16%,32%
Benton,Midwest,Missouri,MO,32%,20%,31%,14%,16%,32%
Bollinger,Midwest,Missouri,MO,36%,22%,29%,11%,16%,34%
Boone,Midwest,Missouri,MO,27%,20%,18%,8%,17%,20%
Buchanan,Midwest,Missouri,MO,35%,22%,27%,10%,16%,28%
Butler,Midwest,Missouri,MO,37%,23%,32%,12%,18%,29%
Caldwell,Midwest,Missouri,MO,39%,20%,22%,11%,16%,32%
Callaway,Midwest,Missouri,MO,34%,19%,20%,9%,14%,31%
Camden,Midwest,Missouri,MO,28%,20%,27%,13%,16%,24%
Cape Girardeau,Midwest,Missouri,MO,33%,20%,21%,10%,16%,30%
Carroll,Midwest,Missouri,MO,34%,20%,24%,11%,14%,30%
Carter,Midwest,Missouri,MO,33%,24%,35%,12%,17%,31%
Cass,Midwest,Missouri,MO,31%,18%,14%,9%,13%,28%
Cedar,Midwest,Missouri,MO,34%,22%,33%,14%,17%,32%
Chariton,Midwest,Missouri,MO,32%,20%,20%,12%,15%,31%
Christian,Midwest,Missouri,MO,30%,20%,17%,9%,13%,24%
Clark,Midwest,Missouri,MO,33%,20%,24%,11%,16%,31%
Clay,Midwest,Missouri,MO,29%,19%,12%,9%,14%,24%
Clinton,Midwest,Missouri,MO,35%,19%,17%,10%,15%,27%
Cole,Midwest,Missouri,MO,30%,20%,18%,10%,15%,23%
Cooper,Midwest,Missouri,MO,35%,22%,20%,10%,16%,26%
Crawford,Midwest,Missouri,MO,33%,24%,30%,12%,17%,28%
Dade,Midwest,Missouri,MO,37%,22%,27%,13%,16%,33%
Dallas,Midwest,Missouri,MO,33%,23%,33%,13%,16%,29%
Daviess,Midwest,Missouri,MO,36%,22%,28%,11%,15%,30%
DeKalb,Midwest,Missouri,MO,39%,20%,20%,10%,16%,33%
Dent,Midwest,Missouri,MO,35%,22%,32%,12%,17%,34%
Douglas,Midwest,Missouri,MO,32%,23%,35%,13%,17%,33%
Dunklin,Midwest,Missouri,MO,33%,24%,42%,13%,20%,33%
Franklin,Midwest,Missouri,MO,33%,21%,16%,10%,15%,32%
Gasconade,Midwest,Missouri,MO,33%,19%,20%,11%,15%,33%
Gentry,Midwest,Missouri,MO,32%,20%,22%,11%,15%,29%
Greene,Midwest,Missouri,MO,29%,20%,24%,10%,17%,22%
Grundy,Midwest,Missouri,MO,34%,21%,27%,12%,15%,31%
Harrison,Midwest,Missouri,MO,33%,20%,27%,12%,15%,30%
Henry,Midwest,Missouri,MO,32%,21%,26%,12%,16%,30%
Hickory,Midwest,Missouri,MO,31%,21%,40%,15%,18%,31%
Holt,Midwest,Missouri,MO,31%,19%,22%,11%,14%,30%
Howard,Midwest,Missouri,MO,34%,21%,23%,10%,16%,28%
Howell,Midwest,Missouri,MO,32%,21%,31%,12%,17%,30%
Iron,Midwest,Missouri,MO,34%,24%,33%,12%,18%,32%
Jackson,Midwest,Missouri,MO,30%,21%,24%,11%,18%,24%
Jasper,Midwest,Missouri,MO,33%,24%,25%,10%,16%,27%
Jefferson,Midwest,Missouri,MO,31%,21%,15%,9%,14%,31%
Johnson,Midwest,Missouri,MO,29%,21%,17%,8%,17%,26%
Knox,Midwest,Missouri,MO,32%,22%,34%,12%,17%,25%
Laclede,Midwest,Missouri,MO,32%,23%,26%,11%,18%,32%
Lafayette,Midwest,Missouri,MO,31%,19%,20%,10%,14%,32%
Lawrence,Midwest,Missouri,MO,30%,21%,27%,11%,15%,25%
Lewis,Midwest,Missouri,MO,36%,21%,23%,10%,15%,35%
Lincoln,Midwest,Missouri,MO,33%,21%,21%,9%,15%,30%
Linn,Midwest,Missouri,MO,30%,21%,30%,12%,16%,30%
Livingston,Midwest,Missouri,MO,28%,20%,24%,10%,16%,29%
Macon,Midwest,Missouri,MO,31%,20%,26%,12%,15%,32%
Madison,Midwest,Missouri,MO,36%,22%,30%,12%,16%,33%
Maries,Midwest,Missouri,MO,33%,20%,24%,11%,15%,31%
Marion,Midwest,Missouri,MO,36%,22%,26%,11%,16%,30%
McDonald,Midwest,Missouri,MO,29%,24%,32%,12%,16%,34%
Mercer,Midwest,Missouri,MO,36%,20%,22%,12%,15%,27%
Miller,Midwest,Missouri,MO,35%,23%,27%,12%,17%,29%
Mississippi,Midwest,Missouri,MO,33%,27%,40%,14%,22%,36%
Moniteau,Midwest,Missouri,MO,30%,20%,20%,9%,14%,26%
Monroe,Midwest,Missouri,MO,31%,20%,25%,12%,16%,30%
Montgomery,Midwest,Missouri,MO,33%,21%,25%,12%,16%,30%
Morgan,Midwest,Missouri,MO,27%,22%,32%,13%,17%,27%
New Madrid,Midwest,Missouri,MO,34%,24%,33%,13%,19%,38%
Newton,Midwest,Missouri,MO,32%,21%,20%,11%,14%,28%
Nodaway,Midwest,Missouri,MO,28%,22%,17%,9%,19%,30%
Oregon,Midwest,Missouri,MO,34%,24%,38%,14%,18%,30%
Osage,Midwest,Missouri,MO,33%,18%,13%,9%,12%,26%
Ozark,Midwest,Missouri,MO,33%,22%,35%,14%,16%,34%
Pemiscot,Midwest,Missouri,MO,34%,26%,40%,14%,23%,30%
Perry,Midwest,Missouri,MO,32%,19%,16%,10%,13%,26%
Pettis,Midwest,Missouri,MO,35%,23%,26%,11%,16%,31%
Phelps,Midwest,Missouri,MO,30%,21%,26%,10%,17%,31%
Pike,Midwest,Missouri,MO,31%,22%,27%,11%,16%,30%
Platte,Midwest,Missouri,MO,31%,18%,9%,9%,14%,22%
Polk,Midwest,Missouri,MO,32%,21%,28%,11%,17%,29%
Pulaski,Midwest,Missouri,MO,33%,21%,19%,7%,17%,29%
Putnam,Midwest,Missouri,MO,32%,20%,28%,12%,16%,35%
Ralls,Midwest,Missouri,MO,35%,19%,17%,11%,13%,29%
Randolph,Midwest,Missouri,MO,33%,23%,26%,11%,17%,27%
Ray,Midwest,Missouri,MO,35%,19%,20%,10%,15%,33%
Reynolds,Midwest,Missouri,MO,33%,22%,34%,13%,18%,35%
Ripley,Midwest,Missouri,MO,34%,24%,37%,13%,18%,31%
Saline,Midwest,Missouri,MO,38%,23%,23%,11%,16%,29%
Schuyler,Midwest,Missouri,MO,32%,22%,30%,12%,18%,30%
Scotland,Midwest,Missouri,MO,35%,21%,25%,11%,14%,31%
Scott,Midwest,Missouri,MO,36%,23%,31%,12%,17%,34%
Shannon,Midwest,Missouri,MO,33%,23%,48%,12%,18%,29%
Shelby,Midwest,Missouri,MO,33%,21%,24%,12%,16%,28%
St. Charles,Midwest,Missouri,MO,28%,16%,9%,8%,12%,21%
St. Clair,Midwest,Missouri,MO,31%,20%,34%,13%,17%,34%
St. Francois,Midwest,Missouri,MO,34%,23%,26%,11%,18%,32%
St. Louis,Midwest,Missouri,MO,28%,17%,14%,11%,16%,23%
St. Louis City,Midwest,Missouri,MO,32%,26%,43%,13%,26%,25%
Ste. Genevieve,Midwest,Missouri,MO,29%,20%,19%,10%,14%,29%
Stoddard,Midwest,Missouri,MO,34%,20%,26%,11%,16%,32%
Stone,Midwest,Missouri,MO,32%,20%,28%,13%,16%,28%
Sullivan,Midwest,Missouri,MO,34%,22%,25%,12%,13%,32%
Taney,Midwest,Missouri,MO,31%,23%,29%,12%,18%,31%
Texas,Midwest,Missouri,MO,31%,24%,33%,12%,17%,34%
Vernon,Midwest,Missouri,MO,31%,22%,27%,11%,16%,27%
Warren,Midwest,Missouri,MO,29%,19%,19%,10%,14%,31%
Washington,Midwest,Missouri,MO,37%,25%,39%,12%,18%,33%
Wayne,Midwest,Missouri,MO,35%,24%,41%,13%,17%,35%
Webster,Midwest,Missouri,MO,33%,21%,28%,11%,16%,27%
Worth,Midwest,Missouri,MO,31%,19%,21%,12%,14%,30%
Wright,Midwest,Missouri,MO,36%,25%,34%,13%,18%,31%
Adams,Midwest,Nebraska,NE,30%,17%,16%,9%,12%,25%
Antelope,Midwest,Nebraska,NE,27%,15%,19%,11%,12%,28%
Arthur,Midwest,Nebraska,NE,30%,15%,16%,10%,15%,29%
Banner,Midwest,Nebraska,NE,33%,15%,24%,12%,14%,33%
Blaine,Midwest,Nebraska,NE,28%,16%,22%,10%,16%,27%
Boone,Midwest,Nebraska,NE,28%,14%,13%,10%,12%,29%
Box Butte,Midwest,Nebraska,NE,32%,18%,17%,11%,15%,28%
Boyd,Midwest,Nebraska,NE,33%,15%,20%,13%,12%,30%
Brown,Midwest,Nebraska,NE,31%,15%,18%,11%,14%,31%
Buffalo,Midwest,Nebraska,NE,30%,15%,15%,7%,13%,24%
Burt,Midwest,Nebraska,NE,33%,18%,16%,11%,13%,35%
Butler,Midwest,Nebraska,NE,28%,16%,12%,10%,12%,24%
Cass,Midwest,Nebraska,NE,34%,18%,10%,8%,11%,25%
Cedar,Midwest,Nebraska,NE,28%,14%,14%,10%,11%,29%
Chase,Midwest,Nebraska,NE,27%,14%,11%,10%,11%,27%
Cherry,Midwest,Nebraska,NE,26%,16%,22%,10%,13%,31%
Cheyenne,Midwest,Nebraska,NE,28%,17%,12%,9%,13%,26%
Clay,Midwest,Nebraska,NE,32%,15%,16%,10%,11%,28%
Colfax,Midwest,Nebraska,NE,31%,15%,15%,10%,7%,27%
Cuming,Midwest,Nebraska,NE,29%,14%,12%,10%,12%,25%
Custer,Midwest,Nebraska,NE,34%,15%,19%,10%,12%,29%
Dakota,Midwest,Nebraska,NE,34%,18%,22%,10%,12%,29%
Dawes,Midwest,Nebraska,NE,28%,17%,22%,9%,15%,28%
Dawson,Midwest,Nebraska,NE,33%,17%,20%,10%,10%,25%
Deuel,Midwest,Nebraska,NE,27%,16%,19%,11%,12%,27%
Dixon,Midwest,Nebraska,NE,31%,15%,16%,11%,11%,32%
Dodge,Midwest,Nebraska,NE,31%,18%,17%,10%,12%,25%
Douglas,Midwest,Nebraska,NE,28%,17%,18%,9%,14%,22%
Dundy,Midwest,Nebraska,NE,34%,16%,21%,11%,12%,29%
Fillmore,Midwest,Nebraska,NE,31%,15%,14%,10%,11%,29%
Franklin,Midwest,Nebraska,NE,36%,16%,19%,11%,12%,32%
Frontier,Midwest,Nebraska,NE,35%,16%,18%,10%,12%,28%
Furnas,Midwest,Nebraska,NE,33%,16%,19%,11%,14%,28%
Gage,Midwest,Nebraska,NE,35%,17%,16%,10%,13%,30%
Garden,Midwest,Nebraska,NE,31%,15%,24%,11%,11%,30%
Garfield,Midwest,Nebraska,NE,28%,15%,15%,11%,13%,28%
Gosper,Midwest,Nebraska,NE,34%,16%,15%,10%,12%,26%
Grant,Midwest,Nebraska,NE,29%,17%,17%,11%,14%,32%
Greeley,Midwest,Nebraska,NE,33%,15%,19%,11%,12%,35%
Hall,Midwest,Nebraska,NE,33%,17%,19%,10%,11%,28%
Hamilton,Midwest,Nebraska,NE,30%,15%,10%,9%,11%,23%
Harlan,Midwest,Nebraska,NE,31%,15%,17%,11%,12%,27%
Hayes,Midwest,Nebraska,NE,30%,15%,18%,11%,12%,32%
Hitchcock,Midwest,Nebraska,NE,34%,17%,21%,12%,14%,28%
Holt,Midwest,Nebraska,NE,32%,15%,17%,10%,12%,31%
Hooker,Midwest,Nebraska,NE,27%,15%,14%,12%,12%,27%
Howard,Midwest,Nebraska,NE,31%,16%,15%,9%,12%,32%
Jefferson,Midwest,Nebraska,NE,35%,16%,17%,10%,12%,32%
Johnson,Midwest,Nebraska,NE,30%,19%,17%,10%,13%,29%
Kearney,Midwest,Nebraska,NE,32%,16%,13%,9%,10%,26%
Keith,Midwest,Nebraska,NE,28%,17%,20%,10%,12%,29%
Keya Paha,Midwest,Nebraska,NE,28%,15%,31%,12%,14%,35%
Kimball,Midwest,Nebraska,NE,32%,17%,18%,11%,13%,30%
Knox,Midwest,Nebraska,NE,30%,16%,22%,11%,13%,32%
Lancaster,Midwest,Nebraska,NE,26%,16%,16%,7%,14%,19%
Lincoln,Midwest,Nebraska,NE,33%,20%,19%,9%,12%,25%
Logan,Midwest,Nebraska,NE,29%,16%,13%,10%,12%,30%
Loup,Midwest,Nebraska,NE,30%,17%,24%,12%,15%,33%
Madison,Midwest,Nebraska,NE,32%,18%,18%,9%,12%,25%
McPherson,Midwest,Nebraska,NE,31%,15%,27%,10%,13%,32%
Merrick,Midwest,Nebraska,NE,34%,16%,15%,10%,12%,28%
Morrill,Midwest,Nebraska,NE,31%,19%,20%,11%,12%,26%
Nance,Midwest,Nebraska,NE,31%,16%,16%,10%,12%,23%
Nemaha,Midwest,Nebraska,NE,35%,16%,17%,9%,14%,26%
Nuckolls,Midwest,Nebraska,NE,31%,14%,19%,11%,12%,31%
Otoe,Midwest,Nebraska,NE,34%,15%,13%,10%,12%,30%
Pawnee,Midwest,Nebraska,NE,32%,15%,22%,12%,14%,31%
Perkins,Midwest,Nebraska,NE,26%,14%,15%,9%,10%,24%
Phelps,Midwest,Nebraska,NE,35%,15%,13%,9%,11%,27%
Pierce,Midwest,Nebraska,NE,35%,15%,13%,9%,11%,30%
Platte,Midwest,Nebraska,NE,30%,16%,11%,9%,11%,25%
Polk,Midwest,Nebraska,NE,30%,15%,12%,10%,11%,30%
Red Willow,Midwest,Nebraska,NE,30%,17%,17%,9%,13%,24%
Richardson,Midwest,Nebraska,NE,36%,17%,21%,11%,14%,33%
Rock,Midwest,Nebraska,NE,32%,16%,22%,11%,11%,33%
Saline,Midwest,Nebraska,NE,33%,17%,13%,9%,12%,31%
Sarpy,Midwest,Nebraska,NE,29%,15%,7%,7%,11%,20%
Saunders,Midwest,Nebraska,NE,27%,16%,11%,9%,11%,27%
Scotts Bluff,Midwest,Nebraska,NE,34%,19%,22%,11%,11%,25%
Seward,Midwest,Nebraska,NE,29%,14%,9%,8%,12%,23%
Sheridan,Midwest,Nebraska,NE,30%,18%,26%,12%,14%,32%
Sherman,Midwest,Nebraska,NE,34%,15%,18%,11%,12%,30%
Sioux,Midwest,Nebraska,NE,31%,16%,23%,10%,12%,31%
Stanton,Midwest,Nebraska,NE,33%,17%,13%,9%,11%,25%
Thayer,Midwest,Nebraska,NE,30%,15%,15%,11%,12%,30%
Thomas,Midwest,Nebraska,NE,31%,15%,26%,10%,12%,31%
Thurston,Midwest,Nebraska,NE,41%,31%,44%,14%,18%,30%
Valley,Midwest,Nebraska,NE,31%,15%,15%,11%,13%,26%
Washington,Midwest,Nebraska,NE,31%,14%,9%,8%,11%,22%
Wayne,Midwest,Nebraska,NE,30%,16%,12%,7%,14%,26%
Webster,Midwest,Nebraska,NE,32%,15%,16%,11%,13%,33%
Wheeler,Midwest,Nebraska,NE,28%,17%,20%,11%,14%,29%
York,Midwest,Nebraska,NE,32%,16%,15%,8%,12%,25%
Adams,Midwest,North Dakota,ND,33%,15%,14%,10%,7%,32%
Barnes,Midwest,North Dakota,ND,33%,16%,14%,9%,7%,25%
Benson,Midwest,North Dakota,ND,35%,32%,41%,14%,15%,32%
Billings,Midwest,North Dakota,ND,30%,16%,9%,8%,5%,32%
Bottineau,Midwest,North Dakota,ND,30%,17%,12%,10%,7%,28%
Bowman,Midwest,North Dakota,ND,30%,15%,10%,9%,5%,30%
Burke,Midwest,North Dakota,ND,30%,19%,10%,10%,7%,31%
Burleigh,Midwest,North Dakota,ND,29%,15%,9%,7%,6%,21%
Cass,Midwest,North Dakota,ND,27%,16%,12%,7%,10%,21%
Cavalier,Midwest,North Dakota,ND,31%,15%,14%,10%,5%,30%
Dickey,Midwest,North Dakota,ND,33%,16%,16%,9%,7%,26%
Divide,Midwest,North Dakota,ND,29%,16%,12%,10%,5%,36%
Dunn,Midwest,North Dakota,ND,30%,20%,13%,9%,5%,36%
Eddy,Midwest,North Dakota,ND,32%,19%,14%,12%,9%,29%
Emmons,Midwest,North Dakota,ND,31%,16%,19%,11%,9%,37%
Foster,Midwest,North Dakota,ND,29%,16%,10%,10%,7%,34%
Golden Valley,Midwest,North Dakota,ND,29%,18%,15%,10%,8%,33%
Grand Forks,Midwest,North Dakota,ND,29%,19%,17%,7%,10%,22%
Grant,Midwest,North Dakota,ND,32%,17%,24%,11%,8%,32%
Griggs,Midwest,North Dakota,ND,30%,14%,11%,10%,6%,30%
Hettinger,Midwest,North Dakota,ND,31%,17%,15%,9%,7%,30%
Kidder,Midwest,North Dakota,ND,29%,17%,18%,10%,8%,29%
LaMoure,Midwest,North Dakota,ND,33%,16%,12%,10%,6%,29%
Logan,Midwest,North Dakota,ND,34%,16%,18%,11%,6%,29%
McHenry,Midwest,North Dakota,ND,29%,17%,16%,9%,8%,29%
McIntosh,Midwest,North Dakota,ND,32%,15%,18%,11%,7%,32%
McKenzie,Midwest,North Dakota,ND,34%,21%,12%,8%,7%,32%
McLean,Midwest,North Dakota,ND,33%,17%,15%,11%,7%,29%
Mercer,Midwest,North Dakota,ND,31%,18%,9%,9%,6%,26%
Morton,Midwest,North Dakota,ND,32%,19%,12%,8%,6%,26%
Mountrail,Midwest,North Dakota,ND,34%,22%,14%,10%,6%,34%
Nelson,Midwest,North Dakota,ND,30%,16%,16%,11%,6%,28%
Oliver,Midwest,North Dakota,ND,31%,16%,21%,10%,5%,28%
Pembina,Midwest,North Dakota,ND,32%,16%,11%,10%,8%,29%
Pierce,Midwest,North Dakota,ND,33%,17%,15%,10%,9%,28%
Ramsey,Midwest,North Dakota,ND,31%,19%,18%,9%,9%,24%
Ransom,Midwest,North Dakota,ND,32%,18%,12%,9%,7%,30%
Renville,Midwest,North Dakota,ND,30%,16%,10%,9%,6%,31%
Richland,Midwest,North Dakota,ND,33%,17%,12%,8%,8%,26%
Rolette,Midwest,North Dakota,ND,41%,38%,41%,16%,18%,34%
Sargent,Midwest,North Dakota,ND,32%,15%,10%,9%,6%,33%
Sheridan,Midwest,North Dakota,ND,32%,16%,27%,11%,8%,33%
Sioux,Midwest,North Dakota,ND,39%,40%,42%,15%,16%,31%
Slope,Midwest,North Dakota,ND,28%,16%,7%,10%,4%,29%
Stark,Midwest,North Dakota,ND,29%,17%,9%,7%,5%,26%
Steele,Midwest,North Dakota,ND,31%,15%,11%,10%,5%,29%
Stutsman,Midwest,North Dakota,ND,30%,17%,14%,8%,8%,29%
Towner,Midwest,North Dakota,ND,31%,16%,17%,11%,7%,29%
Traill,Midwest,North Dakota,ND,36%,17%,11%,9%,7%,26%
Walsh,Midwest,North Dakota,ND,30%,15%,14%,10%,7%,32%
Ward,Midwest,North Dakota,ND,30%,21%,11%,7%,8%,27%
Wells,Midwest,North Dakota,ND,32%,16%,14%,10%,8%,33%
Williams,Midwest,North Dakota,ND,35%,21%,9%,7%,5%,30%
Adair,Midwest,Oklahoma,OK,38%,29%,37%,16%,19%,38%
Alfalfa,Midwest,Oklahoma,OK,35%,19%,18%,12%,14%,40%
Atoka,Midwest,Oklahoma,OK,36%,23%,31%,13%,18%,30%
Beaver,Midwest,Oklahoma,OK,36%,16%,16%,11%,11%,31%
Beckham,Midwest,Oklahoma,OK,34%,20%,19%,10%,15%,31%
Blaine,Midwest,Oklahoma,OK,38%,18%,25%,12%,15%,36%
Bryan,Midwest,Oklahoma,OK,35%,23%,26%,12%,17%,32%
Caddo,Midwest,Oklahoma,OK,36%,23%,29%,13%,17%,37%
Canadian,Midwest,Oklahoma,OK,34%,18%,10%,9%,13%,29%
Carter,Midwest,Oklahoma,OK,32%,22%,22%,12%,16%,32%
Cherokee,Midwest,Oklahoma,OK,35%,26%,29%,14%,18%,28%
Choctaw,Midwest,Oklahoma,OK,34%,24%,38%,15%,20%,35%
Cimarron,Midwest,Oklahoma,OK,31%,18%,26%,14%,14%,35%
Cleveland,Midwest,Oklahoma,OK,30%,19%,14%,9%,15%,25%
Coal,Midwest,Oklahoma,OK,36%,23%,26%,15%,18%,36%
Comanche,Midwest,Oklahoma,OK,35%,22%,24%,11%,19%,30%
Cotton,Midwest,Oklahoma,OK,36%,20%,25%,13%,15%,36%
Craig,Midwest,Oklahoma,OK,30%,23%,26%,14%,17%,32%
Creek,Midwest,Oklahoma,OK,36%,22%,23%,13%,16%,35%
Custer,Midwest,Oklahoma,OK,30%,19%,19%,10%,15%,30%
Delaware,Midwest,Oklahoma,OK,33%,24%,31%,16%,17%,33%
Dewey,Midwest,Oklahoma,OK,34%,19%,17%,12%,14%,36%
Ellis,Midwest,Oklahoma,OK,32%,19%,17%,12%,13%,37%
Garfield,Midwest,Oklahoma,OK,36%,19%,19%,11%,15%,33%
Garvin,Midwest,Oklahoma,OK,36%,21%,24%,12%,16%,35%
Grady,Midwest,Oklahoma,OK,33%,20%,17%,11%,15%,29%
Grant,Midwest,Oklahoma,OK,37%,16%,16%,11%,13%,41%
Greer,Midwest,Oklahoma,OK,32%,20%,29%,11%,16%,33%
Harmon,Midwest,Oklahoma,OK,37%,20%,34%,15%,16%,36%
Harper,Midwest,Oklahoma,OK,35%,18%,15%,12%,12%,36%
Haskell,Midwest,Oklahoma,OK,36%,22%,37%,14%,17%,38%
Hughes,Midwest,Oklahoma,OK,36%,24%,29%,14%,19%,35%
Jackson,Midwest,Oklahoma,OK,31%,19%,23%,11%,15%,34%
Jefferson,Midwest,Oklahoma,OK,35%,21%,31%,14%,16%,34%
Johnston,Midwest,Oklahoma,OK,39%,23%,27%,13%,18%,36%
Kay,Midwest,Oklahoma,OK,29%,22%,26%,12%,17%,30%
Kingfisher,Midwest,Oklahoma,OK,29%,17%,14%,10%,11%,29%
Kiowa,Midwest,Oklahoma,OK,30%,23%,26%,15%,17%,33%
Latimer,Midwest,Oklahoma,OK,36%,22%,27%,13%,19%,34%
Le Flore,Midwest,Oklahoma,OK,39%,24%,31%,13%,19%,33%
Lincoln,Midwest,Oklahoma,OK,37%,20%,20%,12%,16%,39%
Logan,Midwest,Oklahoma,OK,32%,18%,17%,10%,15%,30%
Love,Midwest,Oklahoma,OK,35%,18%,22%,12%,14%,33%
Major,Midwest,Oklahoma,OK,32%,17%,16%,11%,13%,32%
Marshall,Midwest,Oklahoma,OK,34%,20%,26%,14%,15%,38%
Mayes,Midwest,Oklahoma,OK,35%,23%,24%,13%,17%,35%
McClain,Midwest,Oklahoma,OK,30%,17%,14%,10%,13%,28%
McCurtain,Midwest,Oklahoma,OK,34%,23%,29%,14%,21%,37%
McIntosh,Midwest,Oklahoma,OK,36%,22%,33%,15%,18%,38%
Murray,Midwest,Oklahoma,OK,38%,21%,20%,13%,15%,33%
Muskogee,Midwest,Oklahoma,OK,35%,23%,31%,14%,19%,31%
Noble,Midwest,Oklahoma,OK,34%,19%,18%,12%,15%,32%
Nowata,Midwest,Oklahoma,OK,35%,22%,23%,13%,16%,30%
Okfuskee,Midwest,Oklahoma,OK,32%,26%,29%,15%,20%,28%
Oklahoma,Midwest,Oklahoma,OK,30%,18%,25%,11%,17%,29%
Okmulgee,Midwest,Oklahoma,OK,37%,23%,29%,14%,19%,35%
Osage,Midwest,Oklahoma,OK,37%,21%,24%,13%,17%,31%
Ottawa,Midwest,Oklahoma,OK,33%,23%,33%,14%,18%,34%
Pawnee,Midwest,Oklahoma,OK,34%,20%,23%,13%,16%,36%
Payne,Midwest,Oklahoma,OK,30%,22%,22%,9%,20%,26%
Pittsburg,Midwest,Oklahoma,OK,33%,22%,29%,13%,17%,36%
Pontotoc,Midwest,Oklahoma,OK,36%,22%,21%,12%,17%,34%
Pottawatomie,Midwest,Oklahoma,OK,36%,21%,25%,12%,17%,30%
Pushmataha,Midwest,Oklahoma,OK,31%,22%,33%,16%,19%,33%
Roger Mills,Midwest,Oklahoma,OK,31%,18%,17%,12%,13%,37%
Rogers,Midwest,Oklahoma,OK,32%,18%,14%,11%,14%,30%
Seminole,Midwest,Oklahoma,OK,36%,26%,34%,14%,19%,39%
Sequoyah,Midwest,Oklahoma,OK,37%,24%,38%,14%,19%,34%
Stephens,Midwest,Oklahoma,OK,33%,20%,22%,12%,15%,35%
Texas,Midwest,Oklahoma,OK,31%,18%,19%,11%,10%,29%
Tillman,Midwest,Oklahoma,OK,34%,21%,33%,14%,15%,36%
Tulsa,Midwest,Oklahoma,OK,30%,18%,20%,10%,17%,29%
Wagoner,Midwest,Oklahoma,OK,34%,18%,14%,11%,14%,31%
Washington,Midwest,Oklahoma,OK,29%,18%,19%,12%,15%,29%
Washita,Midwest,Oklahoma,OK,41%,19%,19%,11%,15%,34%
Woods,Midwest,Oklahoma,OK,32%,19%,17%,10%,15%,37%
Woodward,Midwest,Oklahoma,OK,39%,19%,16%,10%,13%,29%
Aurora,Midwest,South Dakota,SD,31%,14%,15%,9%,9%,31%
Beadle,Midwest,South Dakota,SD,32%,17%,22%,10%,13%,26%
Bennett,Midwest,South Dakota,SD,37%,29%,46%,14%,19%,27%
Bon Homme,Midwest,South Dakota,SD,33%,17%,18%,9%,12%,27%
Brookings,Midwest,South Dakota,SD,28%,14%,12%,6%,14%,20%
Brown,Midwest,South Dakota,SD,30%,15%,13%,8%,11%,23%
Brule,Midwest,South Dakota,SD,35%,17%,19%,10%,12%,24%
Buffalo,Midwest,South Dakota,SD,42%,37%,48%,15%,24%,31%
Butte,Midwest,South Dakota,SD,27%,17%,23%,10%,11%,24%
Campbell,Midwest,South Dakota,SD,33%,15%,10%,11%,12%,30%
Charles Mix,Midwest,South Dakota,SD,35%,21%,31%,12%,14%,26%
Clark,Midwest,South Dakota,SD,34%,15%,26%,10%,11%,27%
Clay,Midwest,South Dakota,SD,29%,20%,18%,7%,16%,22%
Codington,Midwest,South Dakota,SD,30%,17%,14%,8%,12%,23%
Corson,Midwest,South Dakota,SD,39%,35%,45%,15%,21%,29%
Custer,Midwest,South Dakota,SD,29%,13%,19%,10%,11%,23%
Davison,Midwest,South Dakota,SD,35%,16%,15%,8%,12%,24%
Day,Midwest,South Dakota,SD,32%,19%,20%,12%,15%,26%
Deuel,Midwest,South Dakota,SD,33%,14%,13%,9%,9%,30%
Dewey,Midwest,South Dakota,SD,40%,32%,33%,14%,22%,31%
Douglas,Midwest,South Dakota,SD,29%,15%,14%,10%,11%,26%
Edmunds,Midwest,South Dakota,SD,30%,14%,14%,9%,11%,26%
Fall River,Midwest,South Dakota,SD,31%,16%,24%,12%,14%,25%
Faulk,Midwest,South Dakota,SD,30%,16%,21%,11%,11%,31%
Grant,Midwest,South Dakota,SD,32%,15%,14%,9%,12%,30%
Gregory,Midwest,South Dakota,SD,33%,17%,27%,12%,13%,30%
Haakon,Midwest,South Dakota,SD,34%,16%,15%,11%,11%,28%
Hamlin,Midwest,South Dakota,SD,32%,15%,13%,9%,10%,24%
Hand,Midwest,South Dakota,SD,30%,14%,12%,10%,11%,29%
Hanson,Midwest,South Dakota,SD,28%,17%,15%,9%,11%,26%
